Unnamed: 0,TMEM167A,ID3,KLRK1,GSX1,PGAP3,TUBAL3,RN7SL635P,FOXA1,PVT1,S100Z,MIR4728,RNA5SP147,SNORA40|ENSG00000212363.1,FLG,KIF2C,RAB1A,SNORA70|ENSG00000206958.1,MIEN1,SNORA42|ENSG00000200385.1,ZDHHC7,SCARNA18|ENSG00000238835.1,GRB7,FGD2,MIR4432,HEXB,LINC00977,TRAP1,OR10A7,RNU6ATAC36P,ERBB2,SNORA74|ENSG00000272025.1,SRP54,ANKRD31,ACP6,TMEM53,CASC8,XRCC4,IKZF3,Vault|ENSG00000251900.1,F2RL1,SSR3,FAM177A1,PPP1R1B,NSA2,ZNF540,ACTR2,RN7SL208P,S100A7,CYP4A22,MIR1208,STARD3,TMEM161B,LINC00517,EHBP1,snoU13|ENSG00000238688.1,UCN3,TCAP,RASGRF2,C1orf228,OR6C74,COL4A3BP,SLC1A4,PNMT,FNDC3B,NPAS3,TMEM75,FAM169A,KIAA0513,RNA5SP187,RN7SL44P,CEP68,PPP2R3C,HMGCR,BEST4,VCAN,PELI1,MIR1207,DNASE1,PI16,CDK7,CEP112,LINC00309,OR6C6,GCNT4,NEUROD2,MIPOL1,EDIL3,NET1,BTBD19,RN7SKP226,REL,F2RL2,S100A3,HAPLN1,PLK3,CCDC125,INSM2,RN7SL211P,ZMIZ1,LINC00886,IQGAP2,MYC,OR6C1,snoU13|ENSG00000238696.1,LINC00461,CACNG5,ERBB2IP,RN7SL480P,RPS8,ZPBP2,SV2C,BRMS1L,RN7SL341P,POU5F1B,FOXD1,SLX4,BCL11A,BTF3,POP4,CDK12,MTCH1,NBPF22P,SNORD38A,SPTSSA,ANKRA2,MIR1205,AFTPH,OR6C3,S100A4,ZCCHC9,ADAD2,NLN,KCNAB1,MIR30E,VPS54,RALGAPA1,MIR3660,TEX2,CRHBP,SERTAD2,RN7SKP295,RN7SKP206,SNORD38B,PLA2G4D,ACOT12,SPATA6L,DBIL5P2,PIK3R1,KIAA0391,AKR1CL1,GSDMB,MEF2C,POGZ,PUS10,SNORD46|ENSG00000200913.1,UTP15,MIR4663,OR6C75,RNA5SP186,PSMA6,RNA5SP95,RN7SL300P,PRSS27,CD180,AXIN2,WDR41,C6orf89,PEX13,SNORD55,MBLAC2,S100A5,ATP2C2,ORMDL3,OTP,C8orf76,SNORA31|ENSG00000253059.1,RN7SL361P,RN7SL814P,MIR30C1,POLR3G,KRT2,PAPOLG,TBCA,snoU13|ENSG00000238718.1,CCDC26,ATG10,RN7SL632P,S100A6,TCTEX1D4,LYSMD3,PPIF,CKMT2,TIPARP,EAPP,OTX1,SNORA76|ENSG00000266402.2,PDE8B,RNF220,ZHX1,HOMER1,OR6C65,RN7SL18P,GFM2,BAZ1A,CALML3,COTL1,CMYA5,RAB44,TMEM17,CREBBP,S100A2,DHFR,SNORD104,MIR3686,SLC30A5,ERI3,MIR4433,NUBPL,POLK,TUBA1A,RPS23,PPAPDC2,CCAT1,LGALSL,MTX3,SFTA3,PLCH1,AGGF1,RLF,ZNF687,CETN3,RN7SL103P,GSDMA,FAM83A,LINC00853,DNAJC14,ATP6AP1L,C16orf74,C2orf74,TTC6,ANKDD1B,ASB13,POC5,MILR1,SPRED2,ZBED3,PI4KB,PDZK1IP1,SNORA47,MIR4503,U3|ENSG00000221461.1,CDKN1A,SNORA50|ENSG00000220986.1,OR6C68,PLEKHF1,SERINC5,MTRNR2L4,KIAA1841,F2R,APOH,ZSWIM5,GMPS,NFKBIA,CCNB1,RNA5SP94,TBC1D31,AP3B1,PLEKHO1,TUBA1C,snoU13|ENSG00000238334.1,KCNG4,RN7SL445P,LINC00609,ZFP69B,SSBP2,LRRC3C,MDH1,snoU13|ENSG00000238422.1,FAM159B,COX7C,MEIS1,CFL2,CENPH,RAP2B,HECTD3,MIR3607,RN7SL444P,APPBP2,ORMDL2,ANKRD34B,COX6A1P2,MIR4778,DERL1,MRPS36,RN7SKP257,MSH3,UROD,PLA2G4E,SREK1IP1,ACA59|ENSG00000251775.1,TIGD7,FAM208B,RNY4P5,SPZ1,OR6C4,KLHL36,PSMD3,MIR5584,SREK1,RFX5,RPS4XP5,RASA1,TNFSF10,PAX9,ENC1,PPM1E,WDPCP,PAPD4,RLN2,LINC00861,snoU13|ENSG00000238400.1,RIMS3,KRT1,CCNH,AHSA2,SNORD112|ENSG00000252687.1,MTRNR2L2,PTCSC3,C3orf33,CALML5,ERN1,THBS4,DMAP1,PSMD4,RN7SL51P,ZNF75A,TMEM174,TMEM198B,WDYHV1,RN7SL378P,RNA5SP433,snoU13|ENSG00000238809.1,EGLN3,RN7SKP34,CYP4Z1,KLB,MIR4280,HAS2,TAF9,EDN2,PSMB4,ACE,RN7SL629P,KRT77,SCAMP1,ZNF585A,ETAA1,AKR1C4,ARHGAP5,RAD17,MME,RNA5SP47,OR2C1,SNORA76|ENSG00000252904.1,UGP2,GSDMC,PIM1,MMP19,ZFYVE16,PPM1D,GANC,snoU13|ENSG00000239159.1,TAF1C,SNX6,U8|ENSG00000212249.2,SELENBP1,ZFP69,SNORA70B,SNORA31|ENSG00000251828.1,SNORA25|ENSG00000200075.1,PRPH,ARHGEF28,ARTN,RN7SL660P,ZNF366,ARHGEF26,MED24,ELL2,FANCL,MAST4,SNAPIN,snoU13|ENSG00000238945.1,SNORA18|ENSG00000206592.1,CYB561,GDI2,DPPA3P2,MIR548AA1,ANTXR1,OR2AP1,JMY
TCGA-BH-A1FM,0,-1,-1,1,-1,-1,1,2,2,0,-1,0,0,1,-1,1,0,-1,2,0,0,-1,-1,1,0,1,1,1,0,-1,1,2,0,-1,-1,1,0,-1,1,0,1,2,-1,0,0,1,0,1,-1,2,-1,0,2,1,0,-1,-1,0,-1,1,0,1,-1,0,2,2,0,0,0,1,1,2,0,-1,0,1,2,1,-1,0,2,1,1,0,-1,2,0,-1,-1,2,1,0,1,0,-1,0,2,1,-1,1,0,1,1,1,0,2,0,1,-1,-1,0,2,1,1,0,1,1,0,0,-1,-1,0,-1,2,0,2,1,1,1,0,0,0,1,-1,1,2,0,2,0,1,0,1,-1,1,0,-1,1,0,2,-1,-1,0,1,1,-1,0,1,1,0,2,1,1,1,0,2,0,-1,1,-1,0,1,0,-1,0,1,2,1,0,-1,0,1,1,0,2,1,0,1,1,-1,0,-1,0,1,2,1,2,0,-1,1,0,1,1,0,2,-1,0,0,-1,1,1,1,0,2,1,0,-1,1,2,0,1,0,-1,1,1,0,2,1,0,-1,1,0,0,-1,1,-1,1,0,0,1,2,0,-1,0,2,1,0,1,-1,0,2,1,-1,0,1,0,0,1,1,0,2,-1,1,1,0,1,1,0,1,1,0,0,-1,2,-1,0,-1,1,1,0,0,1,2,0,1,-1,0,1,2,1,0,-1,1,1,0,2,0,-1,1,0,1,1,-1,1,0,1,0,-1,-1,0,1,1,0,0,2,0,2,1,0,-1,1,0,-1,1,0,1,-1,0,2,1,-1,2,0,-1,1,1,1,0,1,1,0,0,1,2,0,-1,1,0,1,0,-1,1,2,0,1,0,0,1,-1,2,0,1,-1,1,0,1,1,-1,1,0,2,1,0,0,2,0,1,-1,1,0,1,1,0,-1,2,0,1,-1,0,1,0,1,-1,0,2,-1,2,1,1,1,0
TCGA-BH-A0E2,0,-1,0,1,-1,0,-1,0,1,0,-1,0,0,0,-1,-1,0,-1,0,-1,0,-1,-1,1,0,1,1,-1,0,-1,-1,0,0,0,-1,1,0,-1,-1,0,0,0,-1,0,0,-1,0,0,-1,1,-1,0,0,2,0,0,-1,0,-1,-1,0,-1,-1,0,0,1,0,-1,0,0,-1,0,0,-1,0,-1,1,1,-1,0,1,-1,-1,0,-1,2,0,0,-1,1,-1,0,0,0,-1,0,0,-1,0,0,0,1,-1,-1,0,1,0,0,-1,-1,0,0,-1,1,0,1,-1,0,0,-1,-1,0,-1,0,0,1,-1,-1,0,0,-1,0,0,-1,-1,1,0,1,0,-1,0,1,-1,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,1,-1,0,0,-1,0,1,0,1,0,-1,-1,-1,0,0,-1,-1,0,1,1,-1,0,-1,0,-1,-1,0,1,1,0,-1,0,-1,0,0,0,0,0,-1,1,0,-1,1,0,-1,1,0,0,0,-1,0,-1,1,1,0,0,1,1,0,-1,-1,0,0,-1,0,0,1,-1,0,0,0,0,-1,0,0,0,-1,1,-1,-1,0,-1,1,2,0,0,0,1,-1,0,0,-1,0,0,1,-1,0,-1,0,0,1,1,0,1,-1,0,0,0,-1,1,0,0,-1,0,-1,0,0,-1,0,-1,-1,1,0,0,-1,0,0,0,-1,0,0,1,-1,0,-1,-1,1,0,0,0,-1,0,0,-1,1,0,1,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,1,-1,0,0,1,0,-1,-1,0,1,-1,0,0,0,0,1,0,-1,0,1,1,0,-1,1,0,-1,1,0,0,-1,0,0,1,0,-1,0,1,0,-1,0,0,-1,0,0,0,0,-1,1,0,-1,1,-1,-1,0,1,0,0,-1,0,0,0,-1,1,0,1,-1,0,-1,0,0,0,-1,0,1,0,0,-1,0,1,0,0,1,-1,-1,0
TCGA-C8-A1HK,1,-1,1,-1,2,-1,1,-1,1,1,2,1,1,1,-1,1,1,2,-1,1,1,2,1,1,1,1,1,1,1,2,1,-1,1,1,-1,1,1,2,1,1,-1,-1,2,1,1,1,1,1,-1,1,2,1,-1,1,1,-1,2,1,-1,1,1,1,2,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,2,1,-1,1,1,1,1,1,1,1,2,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,2,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,2,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,2,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,1,2,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,2,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,2,1,1,1,1,-1,1,1,-1,-1,1,1,1,1
TCGA-A7-A6VY,-1,-1,0,-1,-1,1,0,-1,1,-1,-1,-1,-1,2,0,0,-1,-1,-1,0,-1,-1,0,0,-1,1,1,0,-1,-1,0,-1,-1,2,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,2,0,1,-1,-1,-1,0,-1,1,-1,-1,0,0,-1,0,-1,1,-1,1,-1,0,-1,2,0,-1,-1,0,-1,0,1,1,0,-1,0,0,0,-1,-1,-1,-1,1,0,1,0,-1,2,-1,0,-1,-1,0,0,0,-1,1,0,0,-1,0,-1,2,0,-1,-1,-1,0,1,-1,1,0,-1,0,-1,0,-1,0,-1,-1,1,0,0,2,-1,0,-1,0,0,1,-1,-1,0,-1,0,-1,1,0,-1,-1,1,0,-1,-1,1,-1,-1,2,0,0,-1,1,0,-1,-1,0,1,1,-1,0,-1,0,0,0,-1,2,0,-1,-1,1,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,2,0,-1,0,-1,0,-1,0,0,-1,0,1,-1,0,0,-1,-1,1,0,-1,0,0,1,2,-1,0,1,-1,0,0,-1,-1,0,-1,1,1,0,-1,-1,0,-1,0,2,-1,-1,-1,1,0,0,-1,0,0,-1,-1,1,-1,0,0,-1,2,0,-1,-1,1,0,-1,0,0,-1,1,0,-1,0,0,0,-1,-1,0,1,-1,2,0,-1,0,1,-1,0,-1,-1,0,1,-1,-1,0,-1,-1,1,0,-1,2,0,0,-1,0,0,1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,0,0,-1,0,-1,2,0,-1,1,-1,-1,-1,0,-1,1,1,-1,0,0,-1,0,0,-1,-1,0,1,0,-1,0,2,0,1,-1,0,1,-1,0,0,-1,-1,0,-1,-1,1,-1,0,2,0,-1,0,-1,-1,0,1,-1,-1,0,0,1,-1,1,1,0,0,-1,0,-1,-1,0,-1,-1,2,0,0,-1,1,0,-1,0,-1,-1,0,-1,-1,0,-1,2,0,-1,0,1,-1,1,2,0,-1
TCGA-EW-A2FV,-1,-1,-1,1,-1,1,-1,2,2,-1,-1,0,-1,1,-1,-1,-1,-1,2,0,-1,-1,1,-1,-1,2,0,1,-1,-1,-1,2,-1,1,-1,2,-1,-1,-1,-1,0,2,-1,-1,0,-1,-1,1,-1,2,-1,-1,2,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,1,2,-1,0,-1,1,-1,2,-1,-1,-1,-1,2,0,1,-1,2,-1,1,-1,-1,2,-1,1,-1,2,-1,-1,1,-1,-1,-1,2,-1,-1,0,-1,2,1,-1,-1,2,-1,1,-1,-1,-1,2,-1,2,-1,0,-1,-1,0,-1,1,-1,-1,1,-1,2,-1,1,1,-1,0,-1,0,-1,-1,2,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,1,-1,-1,1,-1,-1,-1,2,1,-1,2,-1,0,0,-1,2,-1,1,-1,-1,-1,1,0,-1,-1,2,2,-1,-1,-1,-1,1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,0,1,-1,2,-1,-1,2,-1,1,-1,-1,2,1,0,-1,1,-1,0,1,-1,2,2,-1,-1,-1,1,-1,1,-1,-1,2,-1,-1,2,0,-1,-1,1,-1,-1,-1,2,-1,1,-1,0,-1,2,-1,1,-1,2,-1,-1,1,-1,-1,2,2,1,-1,1,0,-1,0,-1,-1,2,-1,0,2,-1,-1,2,-1,1,1,-1,0,1,2,-1,-1,-1,-1,2,-1,-1,-1,2,-1,0,-1,-1,1,2,1,-1,1,-1,2,-1,2,-1,-1,-1,-1,-1,0,1,2,-1,1,0,-1,-1,-1,1,-1,-1,0,2,-1,2,-1,-1,-1,2,-1,-1,1,-1,-1,1,-1,2,0,1,2,-1,-1,1,-1,0,-1,1,2,-1,0,-1,1,-1,-1,1,-1,2,-1,-1,1,2,-1,1,-1,0,-1,1,1,-1,0,-1,0,-1,-1,2,1,1,-1,2,-1,-1,0,2,-1,1,-1,-1,-1,2,1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1,2,1,2,2,-1,1,-1
TCGA-A2-A04P,-1,-1,-1,1,-1,1,2,-1,2,-1,-1,1,-1,1,0,2,-1,-1,-1,2,-1,-1,-1,2,-1,2,0,-1,-1,-1,2,-1,-1,1,0,2,-1,-1,2,-1,1,-1,-1,-1,2,2,-1,1,0,2,-1,-1,-1,2,-1,1,-1,-1,0,-1,-1,2,-1,1,2,2,-1,2,-1,1,2,-1,-1,0,-1,2,2,0,-1,-1,2,2,-1,-1,-1,-1,-1,1,0,2,2,-1,1,-1,0,-1,-1,2,0,1,-1,2,-1,2,-1,2,-1,1,0,-1,-1,-1,2,2,-1,0,2,-1,2,-1,-1,-1,0,-1,-1,2,2,-1,1,-1,2,-1,1,0,2,-1,-1,2,-1,2,-1,2,0,-1,-1,2,2,-1,-1,1,-1,-1,1,2,0,-1,2,-1,-1,-1,2,1,0,-1,2,-1,-1,2,0,-1,1,2,-1,-1,2,-1,2,-1,0,-1,-1,2,-1,-1,2,-1,2,1,0,-1,0,-1,1,-1,2,2,-1,0,2,-1,-1,2,-1,-1,1,2,-1,-1,2,0,1,-1,2,2,-1,0,2,1,-1,-1,-1,2,2,2,-1,-1,1,-1,0,1,-1,-1,-1,2,0,-1,-1,2,2,-1,-1,1,-1,2,2,-1,1,0,-1,-1,2,-1,-1,-1,2,-1,0,2,-1,2,0,1,-1,-1,2,2,-1,1,-1,-1,2,1,-1,0,-1,-1,2,2,-1,-1,2,-1,-1,1,0,-1,1,-1,-1,-1,-1,2,2,-1,-1,-1,0,-1,-1,2,0,1,2,-1,-1,2,-1,0,-1,1,2,-1,1,-1,-1,-1,2,-1,2,2,-1,0,-1,-1,2,-1,-1,-1,1,1,2,-1,0,1,2,0,-1,-1,2,-1,2,2,-1,-1,0,-1,-1,2,-1,0,1,2,-1,-1,-1,2,0,1,1,-1,1,0,0,-1,2,2,-1,-1,-1,2,-1,-1,2,-1,-1,1,0,2,-1,2,-1,-1,0,1,-1,1,-1,-1,2,-1,1,0,-1,1,1,-1,2,0,-1,-1
TCGA-EW-A423,1,-1,0,1,1,1,-1,-1,0,1,1,0,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,0,1,0,1,1,-1,-1,1,1,1,0,1,1,-1,1,0,-1,1,1,1,-1,1,1,1,0,1,1,-1,-1,1,1,1,1,1,0,1,-1,1,0,2,0,1,-1,1,1,-1,-1,1,1,1,-1,0,1,1,1,1,-1,0,1,1,-1,1,1,1,0,-1,1,1,1,1,1,-1,-1,1,0,1,0,0,-1,1,1,1,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,-1,1,0,-1,0,1,1,-1,1,0,1,-1,-1,1,1,1,-1,1,0,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,0,0,1,-1,-1,0,1,1,1,1,1,-1,1,1,1,-1,1,1,0,-1,-1,1,1,1,0,-1,1,-1,0,1,-1,1,1,1,1,1,0,-1,-1,1,1,1,0,1,0,-1,1,-1,1,-1,1,1,-1,1,1,1,1,0,1,1,-1,2,1,0,1,-1,0,-1,1,-1,0,1,1,1,1,1,1,0,1,0,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,0,1,1,0,1,1,1,-1,1,1,1,0,-1,1,-1,0,1,1,0,1,-1,1,-1,1,1,1,-1,0,1,1,-1,-1,1,0,1,1,1,1,0,1,1,-1,0,1,-1,1,1,-1,1,-1,1,1,0,1,0,-1,1,1,1,1,-1,1,0,-1,1,1,-1,1,-1,0,1,1,0,1,-1,1,1,-1,0,1,1,1,1,1,-1,1,1,0,0,1,-1,-1,-1,1,1,0,1,0,1,1,1,1,1,0,1,1,-1,1,2,1,0,1,1,1,-1,0,1,0,1,1,-1,1,-1,-1,1,1,1,-1,1,0,0,1,1,2,1,0,1,1,-1,1,1,1,1,1,1,-1,0,-1,0,1
TCGA-A7-A26F,0,-1,0,1,-1,2,0,0,1,0,-1,-1,0,1,2,0,0,-1,0,0,0,-1,0,0,0,1,0,0,0,-1,0,0,0,1,2,1,0,-1,0,0,-1,0,-1,0,0,0,0,1,2,1,-1,0,0,0,0,2,-1,0,2,0,0,0,-1,-1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,-1,0,0,0,-1,0,0,2,2,1,0,0,1,0,2,0,0,0,0,-1,0,1,0,0,0,-1,0,1,2,-1,0,0,0,1,0,0,0,0,0,-1,0,0,2,0,0,1,0,0,1,0,0,0,-1,2,0,0,0,-1,0,0,0,1,2,-1,0,0,0,0,0,2,-1,0,1,0,2,0,1,0,0,0,0,-1,0,0,-1,0,0,0,2,0,1,0,-1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,-1,0,0,-1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,-1,1,0,2,0,0,0,0,0,0,1,0,0,0,-1,0,2,1,0,0,-1,1,2,0,0,0,0,0,0,2,0,-1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,-1,2,-1,0,0,0,1,0,1,0,0,0,2,0,2,0,-1,0,1,0,0,0,0,0,-1,2,0,1,-1,0,0,0,0,1,0,0,0,2,-1,0,0,0,2,1,0,0,0,-1,2,0,1,0,0,-1,0,0,-1,0,0,0,1,0,2,0,0,0,0,0,0,-1,2,-1,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,1,-1,0,0,0,0,0,2,0,0,-1,2,0,0,0,1,0,0,0,-1,-1,0,0,0,0,1,2,0,0,1,0,0,2,0,0,-1,-1,0,0,0,1,2,0,-1,2,0,1,0,0,0
TCGA-AC-A3HN,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,-1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,-1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,-1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,-1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,-1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,-1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,-1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,-1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1
TCGA-B6-A1KN,0,-1,-1,-1,2,-1,-1,1,2,0,2,0,0,2,-1,-1,0,2,1,0,0,2,0,-1,0,2,0,0,0,2,-1,1,0,2,-1,2,0,2,-1,0,0,1,2,0,-1,-1,0,2,-1,2,2,0,1,-1,0,-1,2,0,-1,0,0,-1,2,0,1,2,0,0,0,2,-1,1,0,-1,0,-1,2,0,0,0,-1,-1,0,0,2,1,0,-1,-1,2,-1,0,2,0,-1,0,1,-1,-1,0,0,2,0,-1,0,-1,0,2,-1,2,0,1,-1,2,0,0,-1,0,-1,2,0,0,-1,1,0,2,-1,0,2,0,0,0,0,-1,-1,1,0,-1,0,-1,0,2,-1,0,0,0,-1,0,1,-1,2,0,2,-1,-1,0,2,0,0,1,-1,0,0,0,-1,0,0,-1,-1,0,2,0,2,0,2,1,-1,0,-1,0,0,-1,0,1,2,0,-1,2,-1,0,-1,0,0,1,-1,-1,0,-1,2,0,0,-1,0,1,-1,0,0,0,-1,0,2,0,-1,2,0,-1,-1,1,0,0,0,0,2,-1,0,1,0,0,-1,2,0,0,2,2,-1,0,0,0,-1,1,0,-1,0,-1,-1,0,2,-1,0,1,2,0,0,0,-1,0,0,-1,0,-1,-1,0,1,0,-1,2,0,2,0,0,0,-1,1,-1,0,2,-1,2,0,0,-1,1,0,0,-1,0,2,-1,0,0,0,-1,2,0,1,0,-1,0,0,-1,0,-1,2,0,0,0,2,-1,0,2,-1,0,0,1,0,-1,-1,0,0,2,0,-1,0,0,-1,0,0,1,0,-1,-1,0,-1,2,-1,0,0,0,2,0,0,-1,1,0,-1,0,0,2,0,-1,2,-1,0,0,0,-1,-1,-1,1,0,-1,-1,0,0,-1,2,0,0,0,-1,0,0,0,1,0,2,-1,-1,0,2,0,0,-1,1,0,0,2,0,-1,0,2,-1,0,-1,-1,1,2,-1,0,0
